요청년월,신청구분코드,신청구분명,접수건수
2025-01-14,460,연금정지추가공제신청,19
2025-02-14,454,연금수급자정보변경,130
2025-02-14,460,연금정지추가공제신청,1
2025-03-14,454,연금수급자정보변경,188
2025-03-14,459,연금수급증발급,28
2025-03-14,460,연금정지추가공제신청,3
2025-03-14,999,미구분,1
2025-04-14,453,청산일시금,1
2025-04-14,454,연금수급자정보변경,10
2025-04-14,459,연금수급증발급,24
2025-04-14,999,미구분,5
2025-05-14,454,연금수급자정보변경,4
2025-05-14,459,연금수급증발급,19
2025-05-14,999,미구분,5
2025-06-14,454,연금수급자정보변경,15
2025-06-14,459,연금수급증발급,9
2025-06-14,999,미구분,1
2025-07-14,454,연금수급자정보변경,8
2025-07-14,459,연금수급증발급,12
2025-08-14,454,연금수급자정보변경,8
2025-08-14,459,연금수급증발급,24
2025-08-14,999,미구분,1
2025-09-14,454,연금수급자정보변경,24
2025-09-14,459,연금수급증발급,55
2025-09-14,999,미구분,14
2025-10-14,454,연금수급자정보변경,28
2025-10-14,459,연금수급증발급,29
2025-10-14,999,미구분,3
2025-11-14,454,연금수급자정보변경,11
2025-11-14,457,연금수급자신분변동,2
2025-11-14,459,연금수급증발급,10
2025-11-14,999,미구분,2
2025-12-14,454,연금수급자정보변경,11
2025-12-14,457,연금수급자신분변동,1
2025-12-14,459,연금수급증발급,19
2025-12-14,999,미구분,14
2025-01-15,454,연금수급자정보변경,15
2025-01-15,458,연금지급정지조정신청,1
2025-01-15,459,연금수급증발급,29
2025-01-15,999,미구분,15
2025-02-15,454,연금수급자정보변경,7
2025-02-15,457,연금수급자신분변동,1
2025-02-15,458,연금지급정지조정신청,1
2025-02-15,459,연금수급증발급,18
2025-02-15,999,미구분,1
2025-03-15,454,연금수급자정보변경,39
2025-03-15,459,연금수급증발급,87
2025-03-15,999,미구분,15
2025-04-15,454,연금수급자정보변경,23
2025-04-15,459,연금수급증발급,39
2025-04-15,999,미구분,4
2025-05-15,454,연금수급자정보변경,4
2025-05-15,459,연금수급증발급,16
2025-05-15,999,미구분,1
2025-06-15,454,연금수급자정보변경,9
2025-06-15,459,연금수급증발급,24
2025-06-15,999,미구분,1
2025-07-15,454,연금수급자정보변경,13
2025-07-15,457,연금수급자신분변동,1
2025-07-15,459,연금수급증발급,13
2025-07-15,999,미구분,3
2025-08-15,454,연금수급자정보변경,9
2025-08-15,459,연금수급증발급,20
2025-09-15,454,연금수급자정보변경,19
2025-09-15,459,연금수급증발급,49
2025-09-15,999,미구분,1
2025-10-15,454,연금수급자정보변경,14
2025-10-15,459,연금수급증발급,22
2025-10-15,999,미구분,1
2025-11-15,454,연금수급자정보변경,5
2025-11-15,459,연금수급증발급,16
2025-11-15,999,미구분,11
2025-12-15,454,연금수급자정보변경,9
2025-12-15,459,연금수급증발급,21
2025-12-15,999,미구분,61
2025-01-16,454,연금수급자정보변경,12
2025-01-16,458,연금지급정지조정신청,1
2025-01-16,459,연금수급증발급,16
2025-01-16,999,미구분,4
2025-02-16,454,연금수급자정보변경,12
2025-02-16,459,연금수급증발급,17
2025-02-16,999,미구분,4
2025-03-16,454,연금수급자정보변경,21
2025-03-16,459,연금수급증발급,38
2025-03-16,999,미구분,7
2025-04-16,454,연금수급자정보변경,12
2025-04-16,458,연금지급정지조정신청,1
2025-04-16,459,연금수급증발급,34
2025-04-16,999,미구분,1
2025-05-16,454,연금수급자정보변경,18
2025-05-16,459,연금수급증발급,23
2025-06-16,454,연금수급자정보변경,15
2025-06-16,459,연금수급증발급,11
2025-07-16,454,연금수급자정보변경,12
2025-07-16,457,연금수급자신분변동,1
2025-07-16,459,연금수급증발급,15
2025-07-16,999,미구분,3
2025-08-16,454,연금수급자정보변경,15
2025-08-16,459,연금수급증발급,11
2025-09-16,454,연금수급자정보변경,13
2025-09-16,457,연금수급자신분변동,1
2025-09-16,459,연금수급증발급,32
2025-09-16,999,미구분,3
2025-10-16,454,연금수급자정보변경,13
2025-10-16,459,연금수급증발급,16
2025-10-16,999,미구분,5
2025-11-16,454,연금수급자정보변경,5
2025-11-16,459,연금수급증발급,8
2025-11-16,999,미구분,3
2025-12-16,454,연금수급자정보변경,15
2025-12-16,459,연금수급증발급,21
2025-12-16,999,미구분,68
2025-01-17,454,연금수급자정보변경,14
2025-01-17,458,연금지급정지조정신청,3
2025-01-17,459,연금수급증발급,22
2025-01-17,999,미구분,7
2025-02-17,454,연금수급자정보변경,7
2025-02-17,459,연금수급증발급,15
2025-02-17,999,미구분,2
2025-03-17,453,청산일시금,1
2025-03-17,454,연금수급자정보변경,30
2025-03-17,458,연금지급정지조정신청,1
2025-03-17,459,연금수급증발급,51
2025-03-17,999,미구분,6
2025-04-17,454,연금수급자정보변경,16
2025-04-17,458,연금지급정지조정신청,1
2025-04-17,459,연금수급증발급,22
2025-04-17,999,미구분,3
2025-05-17,454,연금수급자정보변경,7
2025-05-17,459,연금수급증발급,12
2025-05-17,999,미구분,1
2025-06-17,454,연금수급자정보변경,8
2025-06-17,459,연금수급증발급,14
2025-07-17,454,연금수급자정보변경,18
2025-07-17,459,연금수급증발급,14
2025-07-17,999,미구분,1
2025-08-17,454,연금수급자정보변경,15
2025-08-17,458,연금지급정지조정신청,1
2025-08-17,459,연금수급증발급,11
2025-09-17,454,연금수급자정보변경,28
2025-09-17,459,연금수급증발급,46
2025-09-17,999,미구분,2
2025-10-17,454,연금수급자정보변경,7
2025-10-17,459,연금수급증발급,16
2025-11-17,454,연금수급자정보변경,11
2025-11-17,459,연금수급증발급,7
2025-11-17,999,미구분,2
2025-12-17,454,연금수급자정보변경,15
2025-12-17,459,연금수급증발급,28
2025-12-17,999,미구분,34
2025-01-18,454,연금수급자정보변경,15
2025-01-18,458,연금지급정지조정신청,3
2025-01-18,459,연금수급증발급,24
2025-01-18,999,미구분,6
2025-02-18,454,연금수급자정보변경,11
2025-02-18,458,연금지급정지조정신청,1
2025-02-18,459,연금수급증발급,12
2025-03-18,454,연금수급자정보변경,37
2025-03-18,458,연금지급정지조정신청,1
2025-03-18,459,연금수급증발급,54
2025-03-18,999,미구분,19
2025-04-18,454,연금수급자정보변경,26
2025-04-18,459,연금수급증발급,57
2025-04-18,999,미구분,4
2025-05-18,454,연금수급자정보변경,20
2025-05-18,458,연금지급정지조정신청,1
2025-05-18,459,연금수급증발급,22
2025-05-18,999,미구분,8
2025-06-18,454,연금수급자정보변경,19
2025-06-18,458,연금지급정지조정신청,1
2025-06-18,459,연금수급증발급,12
2025-06-18,999,미구분,1
2025-07-18,453,청산일시금,1
2025-07-18,454,연금수급자정보변경,7
2025-07-18,459,연금수급증발급,23
2025-07-18,999,미구분,1
2025-08-18,454,연금수급자정보변경,18
2025-08-18,459,연금수급증발급,18
2025-08-18,999,미구분,3
2025-09-18,454,연금수급자정보변경,27
2025-09-18,457,연금수급자신분변동,1
2025-09-18,459,연금수급증발급,56
2025-09-18,999,미구분,6
2025-10-18,454,연금수급자정보변경,18
2025-10-18,457,연금수급자신분변동,1
2025-10-18,459,연금수급증발급,22
2025-10-18,999,미구분,8
2025-11-18,454,연금수급자정보변경,19
2025-11-18,459,연금수급증발급,13
2025-11-18,999,미구분,5
2025-12-18,454,연금수급자정보변경,13
2025-12-18,459,연금수급증발급,28
2025-12-18,999,미구분,131
2025-01-19,454,연금수급자정보변경,18
2025-01-19,459,연금수급증발급,32
2025-01-19,999,미구분,10
2025-02-19,454,연금수급자정보변경,16
2025-02-19,457,연금수급자신분변동,1
2025-02-19,459,연금수급증발급,18
2025-02-19,999,미구분,1
2025-03-19,454,연금수급자정보변경,35
2025-03-19,457,연금수급자신분변동,4
2025-03-19,459,연금수급증발급,54
2025-03-19,999,미구분,20
