지역,건수,금액
강원,2883152,1626097560
경기,3008519,19549353240
경남,2872605,3151248090
경북,2849284,3316566810
광주,3111171,4330749530
기타,774411,63501740
대구,3029899,6765764410
대전,3050109,2940305300
부산,2974008,6542817340
서울,3125004,28693789390
세종,3319250,335244220
울산,3187757,621612570
인천,2801719,1930384640
전남,2874947,1308100920
전북,2985439,3558643810
제주,2992804,733237050
충남,2852423,2116497710
충북,2906117,1711703180
