년도,처리건수,등록채널(온라인),등록채널(전화),등록채널(방문),등록채널(기타),채널부문합계,합계차이_채널부문minus처리건수,등록채널(온라인)_비중_pct,등록채널(전화)_비중_pct,등록채널(방문)_비중_pct,등록채널(기타)_비중_pct
2017,356303,2369,353157,776,1,356303,0,0.6648835401329767,99.11704363982341,0.21779216004355842,0.00028066000005613203
2018,372659,2324,369638,696,1,372659,0,0.6236264252305728,99.18933931556731,0.18676591736681525,0.00026834183529714836
2019,377023,2270,373909,844,0,377023,0,0.6020852839216706,99.17405569421494,0.22385902186338766,0.0
2020,397462,2654,393821,985,2,397462,0,0.6677367899321193,99.0839375839703,0.2478224333395394,0.0005031927580498262
2021,372665,2631,369471,557,6,372665,0,0.7059960017710276,99.14292997732548,0.14946399581393477,0.0016100250895576455
2022,344973,3752,340823,385,13,344973,0,1.0876213500766725,98.79700730202073,0.1116029370414496,0.0037684108611398576
2023,372678,2647,369468,32,5,372152,-526,0.7112685139405405,99.27878931189407,0.008598637116017112,0.0013435370493776737
2024,312767,1928,319804,2,0,321734,8967,0.5992527988959824,99.4001255695699,0.0006216315341244631,0.0
2025,306769,2292,304430,3,0,306725,-44,0.7472491645610889,99.25177276061619,0.0009780748227239385,0.0
