검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
177,15151181,사립학교교직원연금공단_기준소득월액증감내역,본 데이터는 사립학교 교직원을 대상으로 공단이 운영하는 연금제도의 기준소득월액 증감 정보를 담고 있습니다.,"부담금 산정,급여 산정,소득변경,과세소득,비과세소득",2025-11-04,388건,43건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15151181/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
178,15156913,사립학교교직원연금공단_사학연금 20년사,"사학연금 20년사는 사립학교교직원 연금제도 도입 이후 20년간의 제도 변천과 운영 성과를 정리한 연혁성 기록물로, 연금제도·조직·사업·대외환경 변화를 연도별 사건과 정책 흐름으로 구조화하여","공단운영,제도변천,기록물,연금제도,공단정보,운영현황,통계자료",2026-07-07,366건,40건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15156913/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
179,15152078,사립학교교직원연금공단_사학연금 50년사 통사,본 데이터는 고객정책자문단 질의응답 및 공단 홈페이지 상시 수요조사 답변으로 발굴된 AI 학습용 데이터로써 사립학교교직원연금공단의 창립 50주년을 기념하여 발간된 '사학연금 50년사,"역사,공단역사,통계자료,조직변천사,시대별 역사,연금정보,공단운영",2026-06-25,318건,42건,법령·콘텐츠·기타,검토대상,https://www.data.go.kr/data/15152078/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
180,15143910,사립학교교직원연금공단_연도별 유치원 신규가입자 및 퇴직자 현황,"유치원 교직원의 신규가입자 및 퇴직자 현황을 나타내고 있는 데이터로 연도별, 지역별(서울, 경기, 인천, 충남, 충북, 영남, 전남, 전북, 제주 등) 교직원(교원, 사무직원), 신규가입자수","교원,직원,유치원,신규임용,재임용,퇴직자,지역별,연도별",2026-08-12,490건,75건,퇴직·급여,검토대상,https://www.data.go.kr/data/15143910/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
181,15151175,사립학교교직원연금공단_기준소득월액 직권결정 적용 현황,본 데이터는 사립학교교직원연금법령에 의거 교직원의 기준소득월액을 소득신고 자료 없이 공단에서 직원으로 결정하여 적용하는 현황을 제공하고 있습니다.,"부담금 산정,급여 산정,과세소득,비과세소득,연금운영 제도,재직자",2025-11-04,353건,46건,가입·재직·기관,보조검토,https://www.data.go.kr/data/15151175/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
182,15151187,사립학교교직원연금공단_연계연금반납금 이자율 현황,본 데이터는 사립학교교직원연금공단이 제공하는 연계연금 반납금 이자율의 현황을 명시하고 있습니다.,"연계연금,국민연금,공적연금 연계제도,직역연금,이자,반납이자",2026-06-24,264건,58건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15151187/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
183,15151164,사립학교교직원연금공단_공휴일 관리 정보,본 데이터는 사립학교교직원연금공단(사학연금)이 제공하는 공휴일 관리 정보입니다.,"휴일,주말,날짜,공통코드,일정관리,법정공휴일,대체공휴일",2026-06-24,259건,47건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15151164/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
184,15151262,사립학교교직원연금공단_공단 대표홈페이지 게시물 활용건수 현황,본데이터는 사립학교교직원연금공단 대표 홈페이지에 게시된 정보의 활용 현황을 파악하기 위해 작성된 통계 자료 입니다.,"게시물사용,게시물공유,SNS공유,사용현황,공유현황,다운로드수",2026-07-07,192건,71건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15151262/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
185,15151198,사립학교교직원연금공단_인터넷 접수 현황,"본 데이터는 사립학교교직원연금공단이 운영하는 온라인 시스템을 통해 접수된 연금 관련 교직원(재직자, 연금수급자 등)의 각종 요청 문서(정보변경, 급여청구 등) 현황을 제공합니다.","사학연금 온라인 신청,연금 서비스 신청,신분변동 현황 접수,민원 접수 현황,연금수급자 민원,재직자 민원",2026-07-24,154건,52건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15151198/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
186,15151167,사립학교교직원연금공단_국공립 학교 기관 현황,"본 데이터는 사립학교교직원연금공단에 관리되고 있는 국공립 학교기관 현황 자료( 대학병원, 치과대학병원, 부설 초중고 학교 등)입니다.","학교명,학교,소개지,학교현황,국립학교,공립학교",2025-11-04,121건,37건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15151167/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
