검색순위,데이터ID,데이터명,설명,키워드,수정일,조회수,다운로드,대분류,현재연구관련성,공식URL,공식존재여부,제공기관판정,데이터명판정,설명판정,키워드판정,수정일판정,종합검증판정,검증일,검증비고
147,15112967,사립학교교직원연금공단_월별 특수요양비지급현황(건수),"사립학교교직원연금공단 월별 특수요양비지급현황(건수) 관련된 날짜, 구분, 진료비, 식대, MRI, 초음파검사비, 보조기, 보철구 등의 항목을 제공합니다.","특수요양비,월별,특수요양비지급현황,의료비지원,급여지급,복지혜택",2025-08-18,910건,394건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15112967/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
148,15104429,사립학교교직원연금공단_무료법률자문서비스 이용실적(지역별),"사립학교교직원연금공단_무료법률자문서비스 이용실적(지역별)과 관련된 데이터로 구분, 서울, 경인강원, 대전충청, 대구경북, 부산울산경남, 전라제주 등의 항목을 제공합니다.","법률자문,상담,지역별,지역통계,상담통계,이용실적,자문서비스",2026-07-09,970건,386건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15104429/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
149,15102539,사립학교교직원연금공단_나주지역 농산물 구매내역,"사립학교교직원연금공단 나주지역 농산물 구매내역과 관련된 데이터로 양곡, 과일, 채소, 가공, 축산, 화훼별 연간 구매금액 등의 항목을 제공합니다.","나주,농산물,구매,지역상생,지역 경재,소비현황,농가지원",2026-07-08,815건,411건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15102539/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
150,15119243,사립학교교직원연금공단_행복나눔대여 현황(상세),"사립학교교직원연금공단의 행복나눔대여 상세현황과 관련 된 데이터로 교직원상태, 직구분, 대여금액, 대여잔액, 보증설정금액, 대여종류, 대여일의 데이터를 제공합니다.","대여,행복나눔,상세,대여잔액,보증설정,복지사각지대,집행비중,수혜대상",2026-07-09,805건,301건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15119243/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
151,15113244,사립학교교직원연금공단_업무용 차량 운영 현황,사립학교교직원연금공단 업무용 차량 운영 현황 자료로 공단이 보유하거나 임대한 차량의 운영현황을 담고 있습니다.,"업무용,차량,운영,친환경,전기차,관용차량",2026-06-23,768건,278건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15113244/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
152,15125546,사립학교교직원연금공단_지역별 퇴직자 발생 추이,"전국 사립학교 및 대학병원의 연도별 퇴직자 발생현황을 의 지역별 퇴직자 발생추이를 나타내는 것으로 연도, 지역별(법정동), 학교급(유치원, 초등학교, 대학교 등), 퇴직자 수를 보여줍니다","지역별,퇴직자,발생,교원,직원,학교급",2026-08-12,"1,072건",310건,퇴직·급여,검토대상,https://www.data.go.kr/data/15125546/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
153,15102541,사립학교교직원연금공단_나주회관 소화기설비 관리현황,사립학교교직원연금공단 나주회관 소화기설비 관리현황과 관련된 데이터로 분말·가스·강화액 소화기와 간이소화기(스프레이)를 보유하고 있습니다.,"소화기설비,분말소화기,간이소화기,가스소화기,내구연한,안전장비,설비 점검",2026-07-08,756건,393건,기관운영·ESG,보조검토,https://www.data.go.kr/data/15102541/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
154,15119237,사립학교교직원연금공단_대여종류별 연간 상세 지급현황,"사립학교교직원연금공단 연간 대여 종류별 상세 지급현황과 관련 된 데이터로, 연도, 대여구분(연금대여, 국고학자금대여, 수급자대여), 상세구분(생활자금, 행복나눔, 국고학자금), 건수","대여종류,연간,대여지급,대여구분,운용계획,예산편성,기초자료",2026-07-08,775건,288건,대여·복지·재해보상,검토대상,https://www.data.go.kr/data/15119237/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
155,15119216,사립학교교직원연금공단_75세 초과 지역별 수급자 현황,"사립학교교직원연금공단의 75세 초과 지역별 수급자 현황 데이터는 75세를 초과한 수급자의 거주지 기준 주소지를 기반으로, 시도 단위로 구분한 연금수급자 수를 제공하는 통계자료입니다.","수급자,75세,지역별 통계,평균연금월액,연금 현황,인구 현,연금 통계",2026-07-08,734건,357건,연금수급자,검토대상,https://www.data.go.kr/data/15119216/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
156,15112966,사립학교교직원연금공단_월별 특수요양비지급현황(금액),"사립학교교직원연금공단 월별 특수요양비지급현황(금액) 관련된 날짜, 구분, 진료비, 식대, MRI, 초음파검사비, 보조기, 보철구 등의 항목을 제공합니다.","특수요양비,월별,특수요양,지급현황,재정 집행,의료비지원",2025-09-03,740건,267건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15112966/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
157,15119221,사립학교교직원연금공단_75세 이하 지역별 수급자 현황,"사립학교교직원연금공단의 75세 이하 지역별 수급자 현황 데이터는 75세 이하의 수급자의 거주지 기준 주소지를 기반으로, 시도 단위로 구분한 연금수급자 수를 제공하는 통계자료입니다.","지역별,75세 이하,수급자,지역별 통계,평균연금월액,연금 현황,인구 통계,연금 통계",2026-07-08,779건,291건,연금수급자,검토대상,https://www.data.go.kr/data/15119221/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
158,15131723,사립학교교직원연금공단_지역별_연금수급자_인원현황(주소지),"사립학교교직원연금공단 지역별 연금수급자 인원현황(주소지) 데이터는 연금을 수령중인 수급자의 거주지 기준 주소지를 기반으로, 시도 및 시군구 단위로 구분한 연금수급자 수를 제공하는 통계자료입니다","지역,주소지 기준,연금,수급자,지역별 통계,시도별 현황",2026-07-08,752건,243건,연금수급자,검토대상,https://www.data.go.kr/data/15131723/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
159,15113644,사립학교교직원연금공단_생활자금대여 수익률 모니터링,"사립학교교직원연금공단 생활자금대여 수익률과 관련된 데이터로 연도별 연간대여수익, 당연도 잔액, 현재잔액, 평균잔액, 수익률의 데이터를 제공합니다.","생활자금대여,수익률,대여,연간대여수익,효율성,모니터링,추이비교",2026-07-08,738건,257건,대여·복지·재해보상,보조검토,https://www.data.go.kr/data/15113644/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
160,15133677,사립학교교직원연금공단_업무구분별 VOC 현황,사립학교교직원연금공단 업무구분별 VOC 현황은 고객의소리(VOC) 시스템을 통해 접수된 교직원 민원의 업무 유형별 접수 현황을 제공합니다.,"VOC,업무구분,현황,고객의소리,민원,소통창구,교직원",2026-07-08,689건,219건,고객·디지털·VOC,검토대상,https://www.data.go.kr/data/15133677/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
161,15156911,사립학교교직원연금공단_사학연금 10년사 통사,본 자료는 1974년 사립학교교원연금관리공단(현 사립학교교직원연금공단)의 설립부터 1983년까지 초기 10년간의 발자취를 집대성한 역사서입니다.,"역사,공단역사,통계자료,조직변천사,시대별역사,연금정보,공단운영",2025-12-28,836건,35건,법령·콘텐츠·기타,보조검토,https://www.data.go.kr/data/15156911/fileData.do,존재,일치,일치,일치(목록 축약),일치,일치,일치,2026-08-31,설명은 공식 상세 설명의 목록용 축약문
